time,lfp,spike
0.0,-0.640183389406662,0
0.001,-0.9773968181595027,0
0.002,-1.6579721820124562,0
0.003,-1.8685938009663032,0
0.004,-1.7832366599345162,0
0.005,-3.4252800832207253,0
0.006,-3.1879009943401657,0
0.007,-3.0571708255680297,0
0.008,-3.56544830746065,0
0.009000000000000001,-3.490740465367756,0
0.01,-3.3420535021481252,0
0.011,-3.095952492071302,0
0.012,-1.713389453970282,0
0.013000000000000001,-2.1098326746734037,0
0.014,-3.4434497862540208,0
0.015,-1.0686415636962399,0
0.016,-0.6129168028424803,0
0.017,-1.701658467462049,0
0.018000000000000002,-0.8763278272728001,0
0.019,-0.9263451359810798,0
0.02,-1.7759256390901639,0
0.021,-0.9316991074893065,0
0.022,-1.2541873833158916,0
0.023,-1.3984598990649808,0
0.024,-1.3217011756791621,0
0.025,-1.7486782337780609,0
0.026000000000000002,-0.8076404628527869,0
0.027,-1.5145627166321298,0
0.028,-1.877886917493454,0
0.029,-0.975110761042879,0
0.03,-0.3753100828033142,0
0.031,-1.1498224168784614,0
0.032,0.1753219042472952,0
0.033,0.5286696239359316,0
0.034,1.0408519164084162,0
0.035,2.172022024249803,1
0.036000000000000004,1.067918253099336,0
0.037,0.7004573401565639,0
0.038,0.6529266298910252,0
0.039,0.5167880161158668,0
0.04,0.19898124624939656,0
0.041,-0.23803248124051046,0
0.042,-1.0067301552216321,0
0.043000000000000003,0.2350666476318095,0
0.044,-0.4211002861546047,0
0.045,0.33349420743401975,0
0.046,0.901041979172431,0
0.047,0.584332876495191,0
0.048,1.2638558871577081,0
0.049,2.21484888833026,1
0.05,2.732976297238275,1
0.051000000000000004,3.636345631004762,1
0.052000000000000005,4.704495036580674,1
0.053,3.528848337986503,1
0.054,2.6271794087432805,1
0.055,2.9993351846504095,1
0.056,2.5352321811272773,1
0.057,2.782312790092731,1
0.058,2.6939139693211382,1
0.059000000000000004,1.5170625314351118,0
0.06,0.48568635148659445,0
0.061,1.3056178901566189,0
0.062,0.718480005204935,0
0.063,0.5629708067994281,0
0.064,0.2880494970572243,0
0.065,-0.48103614570252473,0
0.066,-0.008356119218072278,0
0.067,-0.07633063453024294,0
0.068,0.809249839859332,0
0.069,0.6793250065585494,0
0.07,0.4557153319574708,0
0.07100000000000001,0.208701439705263,0
0.07200000000000001,0.8534553954566104,0
0.073,0.23333573372397404,0
0.074,-0.3103860198487038,0
0.075,-0.5159319847179976,0
0.076,-0.6496953305488402,0
0.077,-1.3563799290401606,0
0.078,-0.8160329046919939,0
0.079,-1.4709805189585883,0
0.08,-1.1293600062614675,0
0.081,-2.0998841999189484,0
0.082,-2.2307651139832734,0
0.083,-1.5006734785728932,0
0.084,-0.099083247830552,0
0.085,-0.1483210180806061,0
0.08600000000000001,0.4071454972871411,0
0.08700000000000001,-0.22754332321054982,0
0.088,0.4933205062879228,0
0.089,0.33695656011615366,0
0.09,0.5709512842538583,0
0.091,0.3063078126093428,0
